iter	Passed	Remaining
221	25038	31354
222	25150	31240
223	25263	31128
224	25371	31009
225	25482	30894
226	25586	30771
227	25687	30644
228	25793	30523
229	25891	30394
230	25991	30267
231	26097	30146
232	26196	30018
233	26293	29889
234	26391	29760
235	26492	29636
236	26604	29522
237	26715	29409
238	26817	29286
239	26920	29163
240	27025	29043
241	27132	28926
242	27230	28798
243	27331	28675
244	27431	28550
245	27533	28429
246	27629	28300
247	27731	28178
248	27842	28066
249	27945	27945
250	28049	27826
251	28159	27712
252	28260	27590
253	28367	27474
254	28473	27357
255	28580	27241
256	28686	27123
257	28784	26999
258	28883	26876
259	28984	26754
260	29091	26639
261	29203	26528
262	29304	26407
263	29403	26284
264	29501	26162
265	29602	26041
266	29701	25919
267	29801	25798
268	29899	25675
269	29996	25552
270	30094	25430
271	30195	25310
272	30296	25191
273	30405	25079
274	30514	24966
275	30612	24845
276	30713	24726
277	30819	24611
278	30932	24502
279	31037	24386
280	31145	24273
281	31248	24156
282	31360	24046
283	31476	23940
284	31575	23819
285	31680	23705
286	31792	23594
287	31901	23483
288	32008	23369
289	32117	23257
290	32221	23141
291	32321	23023
292	32422	22906
293	32516	22783
294	32617	22666
295	32725	22554
296	32833	22441
297	32934	22324
298	33041	22212
299	33149	22099
300	33252	21984
301	33359	21871
302	33466	21758
303	33576	21647
304	33677	21531
305	33787	21421
306	33900	21311
307	34000	21195
308	34106	21081
309	34210	20967
310	34312	20852
311	34407	20732
312	34509	20617
313	34620	20507
314	34725	20394
315	34829	20280
316	34936	20168
317	35043	20056
318	35150	19944
319	35246	19826
320	35341	19707
321	35442	19592
322	35543	19477
323	35644	19362
324	35753	19251
325	35868	19144
326	35970	19030
327	36069	18914
328	36183	18806
329	36302	18701
330	36406	18588
331	36503	18471
332	36601	18355
333	36703	18241
334	36802	18126
335	36901	18011
336	37010	17901
337	37119	17790
338	37220	17676
339	37318	17561
340	37418	17447
341	37526	17336
342	37635	17226
343	37733	17111
344	37838	16999
345	37942	16887
346	38043	16774
347	38150	16663
348	38271	16558
349	38373	16445
350	38474	16332
351	38577	16220
352	38679	16107
353	38784	15995
354	38893	15886
355	39003	15776
356	39108	15665
357	39208	15552
358	39315	15441
359	39431	15334
360	39559	15232
361	39676	15125
362	39793	15018
363	39900	14907
364	40045	14811
365	40187	14713
366	40300	14604
367	40426	14500
368	40557	14398
369	40676	14291
370	40791	14183
371	40909	14076
372	41030	13970
373	41149	13863
374	41270	13756
375	41384	13647
376	41500	13540
377	41619	13432
378	41733	13323
379	41848	13215
380	41965	13107
381	42085	13000
382	42200	12891
383	42321	12784
384	42448	12679
385	42587	12577
386	42720	12474
387	42845	12367
388	42958	12258
389	43066	12147
390	43179	12037
391	43291	11927
392	43397	11815
393	43508	11705
394	43615	11593
395	43729	11484
396	43847	11376
397	43963	11267
398	44073	11156
399	44193	11048
400	44302	10937
401	44412	10826
402	44519	10715
403	44639	10607
404	44760	10499
405	44873	10389
406	44981	10278
407	45092	10167
408	45205	10057
409	45314	9947
410	45430	9837
411	45548	9728
412	45669	9620
413	45780	9509
414	45904	9402
415	46032	9295
416	46153	9186
417	46291	9081
418	46453	8980
419	46605	8877
420	46767	8775
421	46912	8670
422	47060	8566
423	47212	8462
424	47337	8353
425	47453	8243
426	47572	8132
427	47693	8023
428	47825	7915
429	47979	7810
430	48124	7704
431	48241	7593
432	48360	7483
433	48475	7371
434	48591	7260
435	48708	7149
436	48823	7038
437	48934	6926
438	49057	6816
439	49182	6706
440	49297	6595
441	49407	6483
442	49530	6372
443	49646	6261
444	49762	6150
445	49880	6039
446	50034	5932
447	50182	5824
448	50332	5717
449	50473	5608
450	50598	5497
451	50751	5389
452	50912	5282
453	51027	5170
454	51151	5058
455	51317	4951
456	51464	4842
457	51616	4733
458	51743	4621
459	51862	4509
460	51994	4398
461	52134	4288
462	52276	4177
463	52394	4065
464	52518	3952
465	52659	3842
466	52789	3730
467	52906	3617
468	53018	3504
469	53134	3391
470	53248	3278
471	53372	3166
472	53512	3054
473	53636	2942
474	53748	2828
475	53868	2716
476	53981	2602
477	54096	2489
478	54207	2376
479	54314	2263
480	54426	2149
481	54525	2036
482	54630	1922
483	54735	1809
484	54839	1696
485	54953	1583
486	55065	1469
487	55176	1356
488	55290	1243
489	55400	1130
490	55520	1017
491	55628	904
492	55740	791
493	55862	678
494	55971	565
495	56083	452
496	56196	339
497	56318	226
498	56435	113
499	56546	0
