iter	MultiClass
218	0.9785518771
219	0.9760741035
220	0.9739317142
221	0.9706974297
222	0.9686853842
223	0.9668032246
224	0.9661263182
225	0.9634878087
226	0.9613801075
227	0.9590598971
228	0.9565924264
229	0.9544719413
230	0.953786508
231	0.9514183685
232	0.9489030728
233	0.9463112934
234	0.9438123573
235	0.9409683335
236	0.9384705104
237	0.9361024696
238	0.9341833387
239	0.9317772429
240	0.9300333828
241	0.928600052
242	0.9267462445
243	0.9237482872
244	0.9214225151
245	0.9187066546
246	0.9170635773
247	0.9147127876
248	0.9132381751
249	0.9104687746
250	0.9076370097
251	0.9060074185
252	0.9042888548
253	0.9019715826
254	0.8995287515
255	0.8958164011
256	0.8948658964
257	0.894055278
258	0.8921443039
259	0.8896012317
260	0.8872576255
261	0.8850304884
262	0.8815917212
263	0.8794377854
264	0.8769884426
265	0.875026598
266	0.8729552039
267	0.8705642549
268	0.8681207093
269	0.8676545392
270	0.8652330991
271	0.8623287852
272	0.8610298521
273	0.8588543474
274	0.8557882816
275	0.8539588115
276	0.8519194403
277	0.8501419684
278	0.8484922349
279	0.8467889955
280	0.8445216828
281	0.8427986766
282	0.8413298862
283	0.8395360513
284	0.8369124809
285	0.8359759244
286	0.8343724733
287	0.8328911294
288	0.8316100691
289	0.8295552492
290	0.8283919629
291	0.8264320487
292	0.824047624
293	0.8232017504
294	0.8199693083
295	0.8178429647
296	0.81578925
297	0.8130727873
298	0.8119744117
299	0.810156247
300	0.8085288271
301	0.8056660382
302	0.8046553206
303	0.8036226274
304	0.8030856304
305	0.8018448391
306	0.8006571137
307	0.7995211263
308	0.7969735684
309	0.7949210664
310	0.7936115097
311	0.7919548187
312	0.7904946945
313	0.7887635917
314	0.787280732
315	0.7863611648
316	0.7838751245
317	0.782066547
318	0.7805319581
319	0.778942143
320	0.7784036334
321	0.7776194097
322	0.7759407196
323	0.7733400329
324	0.7719488312
325	0.7690881121
326	0.7673521331
327	0.7657794531
328	0.7645119045
329	0.7620946635
330	0.7606618306
331	0.7598531673
332	0.757988883
333	0.7569042879
334	0.7555895858
335	0.7535485439
336	0.7513165065
337	0.7501495466
338	0.7480568513
339	0.7475064942
340	0.746313149
341	0.744761058
342	0.7421550073
343	0.739769939
344	0.7382864768
345	0.7370862471
346	0.7352361625
347	0.7339127603
348	0.7327726954
349	0.7311844973
350	0.7291167677
351	0.727160068
352	0.7255073873
353	0.723502914
354	0.7211215104
355	0.7196979035
356	0.7181593848
357	0.7167689021
358	0.715069645
359	0.7141287179
360	0.7123665723
361	0.7105545688
362	0.7094895867
363	0.7085496794
364	0.7062425547
365	0.7044624162
366	0.7033066852
367	0.7021275335
368	0.7009703542
369	0.6995786491
370	0.6986205323
371	0.6976403899
372	0.6952809476
373	0.6936700425
374	0.6926246101
375	0.6909953565
376	0.6891323846
377	0.6878566705
378	0.6864723668
379	0.6848080027
380	0.6840544935
381	0.6824965526
382	0.6806862153
383	0.6784604505
384	0.6772830636
385	0.6746564391
386	0.6732146387
387	0.6721524422
388	0.6710144487
389	0.6701670316
390	0.6686142041
391	0.6670819006
392	0.665800958
393	0.6644461467
394	0.6629649252
395	0.6618685983
396	0.6607436675
397	0.6599340061
398	0.6581874715
399	0.657105335
400	0.6557784854
401	0.6543756285
402	0.6532746805
403	0.651318078
404	0.6496968682
405	0.648900198
406	0.6476245993
407	0.6462431398
408	0.6450566022
409	0.643345109
410	0.6419532541
411	0.6406779629
412	0.6393412378
413	0.6380492854
414	0.6366349931
415	0.6347995654
416	0.6335553569
417	0.6313979584
418	0.6298913162
419	0.6284332065
420	0.6269347835
421	0.6257362885
422	0.6249148026
423	0.6231396601
424	0.6217530538
425	0.6201708986
426	0.6188352661
427	0.617132274
428	0.6161240402
429	0.6151259197
430	0.6138675276
431	0.612463549
432	0.6114833701
433	0.6104581876
434	0.6087093248
435	0.6070696222
436	0.6053068151
437	0.6044343428
438	0.6036411738
439	0.6026660107
440	0.60072467
441	0.5989640778
442	0.5984741378
443	0.5972835101
444	0.5957447821
445	0.5948101643
446	0.5943345229
447	0.5936964965
448	0.5924083182
449	0.5918198416
450	0.5911510368
451	0.5899023923
452	0.5892422886
453	0.5887025887
454	0.587430044
455	0.5864856145
456	0.58535929
457	0.5838939988
458	0.5823825214
459	0.5807436188
460	0.578831922
461	0.5765944912
462	0.5757774621
463	0.5743674406
464	0.573883702
465	0.5727189842
466	0.5720802936
467	0.571051791
468	0.5695945743
469	0.568878069
470	0.5673134204
471	0.5662273946
472	0.5654568723
473	0.5631843189
474	0.5624004078
475	0.5617068942
476	0.5608436861
477	0.5600563465
478	0.5586855448
479	0.5573804821
480	0.5561555602
481	0.5550801761
482	0.5545184447
483	0.5534563668
484	0.5525558532
485	0.551293285
486	0.5496318734
487	0.547804035
488	0.546791097
489	0.5462386116
490	0.5446036461
491	0.5435826074
492	0.5423160526
493	0.5408487528
494	0.5397060625
495	0.5378976634
496	0.5361843582
497	0.5345039759
498	0.5337275089
499	0.532290142
